Fermata,Population,Affluences,0-2 km to work,2-5 km to work,5-10 km to work
LEEDS CITY CENTRE,1906,0,3247,3103,1554
LEEDS BUS TERMINAL,7906,12000,3247,3103,1554
LEEDS TRAIN STATION,39306,82700,3247,3103,1554
KIRKSTALL JUNCTION,1906,0,3247,3103,1554
TEMPLE,1906,0,3247,3103,1554
RIVERSIDE,1314,4500,323,293,128
HUNSLET,1314,0,323,293,128
HUNSLET WEST,1314,0,323,293,128
HOLBECK,3799,0,417,644,304
BEESTON,3799,0,417,644,304
ELLAND ROAD STADIUM,3799,5286,417,644,304
WHITE ROSE SHOPPING CENTRE,3799,8500,417,644,304
BEESTON SOUTH,3799,0,417,644,304
MIDDLETON PARK,14803,1000,648,1614,1451
BELLE ISLE,14803,0,648,1614,1451
ARMLEY,4909,0,373,533,266
WELLINGTON RD JUNCTION,4909,0,373,533,266
HEADINGLEY STATION,11617,1000,539,1425,926
BURLEY,11117,0,539,1425,926
BURMANTOFTS,9509,0,950,909,359
ST JAMES HOSPITAL,9509,16000,950,909,359
EAST END PARK,9509,1750,950,909,359
HAREHILLS,15439,0,1064,1439,512
CHAPELTOWN,5279,0,443,582,159
CHAPEL ALLERTON,5279,1000,443,582,159
LITTLE LONDON,15538,0,511,225,122
LITTLE LONDON NORTH,15538,0,511,225,122
UNIVERSITY,15538,25000,511,225,122
EAST HEADINGLEY,15587,0,860,1623,516
HYDE PARK,15587,8000,860,1623,516
MEANWOOD,6867,1200,368,922,468
BRAMLEY,12009,0,701,1021,1538
MOORSIDE,12009,0,701,1021,1538
WORTLEY,6919,0,510,823,525
HEADINGLEY CAMPUS,11848,7500,600,2300,1570
COTTINGLEY - CHURWELL,6448,0,296,642,703
