Fermata,Population,Affluences,0-2 km to work,2-5 km to work,5-10 km to work
LEEDS CITY CENTRE,1906,0,193,53,29
LEEDS BUS TERMINAL,7906,12000,193,53,29
LEEDS TRAIN STATION,39306,82700,193,53,29
KIRKSTALL JUNCTION,1906,0,193,53,29
TEMPLE,1906,0,193,53,29
RIVERSIDE,1314,4500,250,227,99
HUNSLET,1314,0,250,227,99
HUNSLET WEST,1314,0,250,227,99
HOLBECK,3799,0,258,398,188
BEESTON,3799,0,258,398,188
COTTINGLEY - CHURWELL,3799,0,258,398,188
ELLAND ROAD STADIUM,3799,0,258,398,188
BEESTON RING ROAD,3799,0,258,398,188
WHITE ROSE SHOPPING CENTRE,3799,8500,258,398,188
BEESTON SOUTH,3799,0,258,398,188
MIDDLETON PARK,14803,1000,579,1442,1297
BELLE ISLE,14803,0,579,1442,1297
ARMLEY,4909,0,334,476,238
WELLINGTON RD JUNCTION,4909,0,334,476,238
HEADINGLEY STATION,11617,1000,433,1144,743
BURLEY,11117,0,433,1144,743
BURMANTOFTS,9509,0,859,822,324
ST JAMES HOSPITAL,9509,16000,859,822,324
EAST END PARK,9509,175,859,822,324
HAREHILLS,15439,0,981,1328,473
CHAPELTOWN,5279,0,365,479,131
CHAPEL ALLERTON,5279,1000,365,479,131
LITTLE LONDON,15538,0,419,185,100
LITTLE LONDON NORTH,15538,0,419,185,100
UNIVERSITY,15538,25000,419,185,100
EAST HEADINGLEY,15587,0,717,1352,430
HYDE PARK,15587,8000,717,1352,430
MEANWOOD,6867,1200,275,689,350
BRAMLEY,12009,0,606,882,1328
MOORSIDE,12009,0,606,882,1328
WORTLEY,6919,0,438,707,451
HEADINGLEY CAMPUS,15924,7500,146,536,303
